"Xpert Bakers",250,28.6519961,77.3147803
"Juniper Bar - Andaz Delhi",1500,28.55480667,77.12181085
"McDonald's",500,28.5625545,77.2243586
"Pizza Hut Delivery",800,28.5625495,77.2242626
"The Arena",1600,28.5624498,77.2245776
"Restaurant De Seoul",2500,28.562518,77.2245397
"Taksim",1500,28.5625562,77.2239998
"Jom Jom Malay",1800,28.563155,77.224443
"Kofuku",1500,28.56257437,77.22493695
"The Sky High",1400,28.5622825,77.2243747
"Haldiram's",500,28.66894461,77.10154384
"Jux Pux - The Dreamer's Cafe",350,28.640954,77.238382
"Pizzaon",500,28.64244153,77.23196391
"FFC Restaurant",250,28.642415,77.231881
"34, Chowringhee Lane",350,28.6933274,77.1729156
"Aapni Dhani",200,28.6927118,77.1731452
"Bengal Sweet Corner",500,28.692666,77.1725562
"Chicken Vicken",600,28.6849156,77.1664456
"Cup-a-licious",200,28.6976846,77.1763302
"Frontier",200,28.6931895,77.1714778
"Metro Fast Food",400,28.6938333,77.1727344
"Nagpal's",200,28.6848261,77.1664456
"Nile Restro & Bar",1000,28.6942435,77.1721967
"Popular Chicken",450,28.6874254,77.1730055
"Sardar A Pure Meat Shop",150,28.6873272,77.1729156
"Shankar Fast Food",300,28.6929381,77.1716576
"Singh's Zaika ",500,28.6812819,77.1767631
"The Mirch Masala",700,28.6931964,77.1731558
"The Mirch Masala",650,28.6873066,77.1736345
"Uncle Cake Shop",300,28.6738532,77.1855851
"Kays Bar-Be-Que",700,28.6933532,77.1731852
"Master Bakers",350,28.6925128,77.1728257
"The Master's Fast Food Centre",400,28.6930613,77.1734098
"6 Pack Momos",300,28.6940223,77.1724219
"Al Noor Foods",500,28.6870353,77.1731402
"Avon Kitchen",700,28.6872769,77.1736822
"Bhasad Cafe",500,28.6720536,77.1808229
"Bikaner Kesarvala",100,28.687879,77.1685277
"De Bone Chicken",400,28.6872543,77.1730688
"Indian Fresh Meat Shop",300,28.687261,77.1728262
"JD's Food Court",550,28.6720536,77.1808229
"Keventers",400,28.6942521,77.1722866
