lat,lon
12.894033,77.66236169999999
12.889441,77.64022109999999
12.8360678,77.6672418
13.085249,77.6549154
12.9387277,77.73112619999999
13.043223,77.7482414
13.0708496,77.75127239999999
12.8975268,77.6772502
12.98979,77.7242795
13.0425402,77.5194121
12.9022215,77.6699666
12.7815368,77.7818487
12.8810058,77.63616139999999
12.9068814,77.671808
12.8613592,77.60688379999999
13.0287887,77.74967880000001
12.8818045,77.4705858
13.0630984,77.66295629999999
12.885663,77.56377499999999
12.8783657,77.6708668
12.8905902,77.6681103
12.7741873,77.6961678
13.018456,77.703632
13.0810365,77.6343988
12.9206595,77.4926622
13.0097168,77.5540958
12.9024372,77.6313115
12.7748955,77.7830251
12.9969877,77.68995489999999
12.8595081,77.574026
13.0244407,77.7116346
13.0631903,77.66260249999999
12.8620814,77.6137471
13.0124263,77.73553369999999
13.060724,77.507677
12.889868,77.6488791
12.8211271,77.660999
13.0536883,77.6572283
12.9218714,77.7373607
12.92889,77.68163299999999
12.904254,77.599514
12.9391021,77.7376639
12.8404406,77.6435767
13.0827637,77.622828
12.9124433,77.6517185
12.7715636,77.7018348
13.0473654,77.62548389999999
12.8348265,77.6910718
13.1036043,77.6208274
13.0543825,77.61948389999999
13.046145,77.60162199999999
12.9312565,77.5290121
12.8807869,77.7875912
12.8904448,77.538187
12.9403192,77.5252055
13.099928,77.6331637
12.9054239,77.6993194
12.9643023,77.7575018
12.9210342,77.6706402
12.8825179,77.6905147
12.7379428,77.7343688
12.8622252,77.6605814
12.9312272,77.63458670000001
12.9757699,77.6972803
12.9054239,77.6993194
12.9210342,77.6706402
13.0244172,77.76198749999999
12.8800875,77.69287159999999
13.0452085,77.6794603
13.1023847,77.441715
12.9054503,77.58304059999999
12.8740261,77.6100293
13.0259697,77.5329519
12.9307632,77.5217595
13.0443079,77.74501289999999
12.795757,77.650302
13.0655118,77.743832
12.7851117,77.7770002
13.0559515,77.596732
12.8368015,77.6871048
12.8853283,77.7047401
13.081174,77.625001
12.9758193,77.5570922
12.7813035,77.7622283
12.8917332,77.6816863
12.99911,77.7526073
13.0547139,77.6465134
13.0107038,77.5536372
13.0879221,77.6554441
13.1479839,77.6389992
13.0958355,77.6011008
13.0107038,77.5536372
13.1395085,77.57063950000001
12.8870631,77.45370779999999
12.9046539,77.6984995
12.9852446,77.6867056
12.8337182,77.70144359999999
13.052728,77.59730499999999
12.9776982,77.5647402
12.901324,77.70859449999999
12.8912793,77.5392322
13.0654977,77.65153649999999
12.8642033,77.53674
12.9846992,77.7761359
13.073371,77.80411389999999
12.9621546,77.7461421
12.8753163,77.4501207
13.087229,77.596148
13.1377116,77.5693818
13.0616882,77.5950079
12.9055155,77.6756456
13.013394,77.735935
13.0095427,77.7301136
13.0996181,77.81143430000002
12.8356242,77.7668846
12.900891,77.6193205
12.870642,77.5860474
12.8539676,77.54460170000002
13.0606229,77.62227829999999
12.9789932,77.7113528
13.0781,77.6373728
12.8377608,77.6764512
12.9058075,77.5723024
12.8594994,77.765354
12.8869436,77.55137359999999
12.8638771,77.5432976
12.8634786,77.526696
12.9694606,77.7414335
12.9218502,77.4926026
12.8220091,77.6563314
13.0412129,77.60939789999999
12.8672756,77.64419319999999
12.9208104,77.5367614
12.9754639,77.7639204
12.9954655,77.6948322
12.8962858,77.702125
12.8888172,77.7683326
13.082285,77.654127
13.102545,77.623708
